equi_steps: 100 steps: 1000 steps_ps: 1
j Ecorr Mcoor
0 1 1
1 0.778292 0.117514
2 0.556271 -0.765045
3 0.42402 -0.244869
4 0.309255 0.549655
5 0.21943 0.299029
6 0.136986 -0.365974
7 0.0885363 -0.317339
8 0.0615399 0.217022
9 0.0259298 0.326585
10 0.00805381 -0.0865671
11 -0.00676674 -0.306901
12 -0.0400082 -0.00754399
13 -0.0548326 0.276681
14 -0.0775016 0.0788095
15 -0.0798533 -0.219834
16 -0.0529446 -0.123918
17 -0.0357883 0.159134
18 -0.000424179 0.142906
19 0.0333576 -0.0886303
20 0.023786 -0.124072
21 0.0208867 0.0253927
22 0.0130344 0.0622482
23 0.00314397 0.00562904
24 0.0184053 -0.0277011
25 0.0274696 -0.0179261
26 0.0283769 -0.00926946
27 0.0199074 0.0243823
28 0.00805069 0.0413097
29 -0.000469499 -0.0267405
30 -0.00926834 -0.0694377
31 -0.0129264 0.00847812
32 -0.00360044 0.0770571
33 -0.0213208 0.0216447
34 -0.0490104 -0.0688917
35 -0.0615999 -0.0662804
36 -0.0538363 0.0525081
37 -0.0533918 0.105672
38 -0.043504 0.00702625
39 -0.0281036 -0.126733
40 -0.0246722 -0.0470764
41 -0.0209289 0.116664
42 -0.0136453 0.0567222
43 -0.0189815 -0.0910541
44 -0.0590512 -0.0616996
45 -0.0698389 0.0677166
46 -0.0602803 0.0642893
47 -0.0570704 -0.0392977
48 -0.0345832 -0.0719691
49 0.00281025 0.021919
50 0.030373 0.0609093
51 0.0514383 0.0070346
52 0.0724723 -0.0428627
53 0.0757899 -0.0253113
54 0.0735277 0.0182828
55 0.0686092 0.0121919
56 0.0725545 0.00398473
57 0.0735594 -0.00778174
58 0.0583329 -0.0130145
59 0.04641 0.00331099
60 0.015351 0.0322856
61 0.00807373 0.0261572
62 0.0101257 -0.0364033
63 0.019159 -0.0328659
64 0.031172 0.0120549
65 0.0274829 0.0319396
66 0.0223639 0.0142623
67 0.0397009 -0.0203118
68 0.0558037 -0.0338875
69 0.0484552 0.0132032
70 0.0585834 0.0511481
71 0.0550862 -0.00437886
72 0.046512 -0.0481774
73 0.0277761 0.00545504
74 0.0168095 0.0489566
75 0.0198764 -0.00573767
76 -0.00299392 -0.0719718
77 -0.0161858 -0.00730842
78 -0.00202508 0.100055
79 -0.00411511 0.0477808
80 -0.00689349 -0.0946919
81 -0.0022517 -0.0889392
82 -0.0217383 0.0623102
83 -0.0278769 0.118736
84 -0.040748 -0.0193586
85 -0.0569456 -0.12459
86 -0.058091 -0.0243764
87 -0.0450962 0.118408
88 -0.0436739 0.0538476
89 -0.0491532 -0.0976427
90 -0.0510927 -0.0783581
91 -0.0484392 0.0623693
92 -0.0783963 0.0973899
93 -0.116256 -0.0355344
94 -0.123733 -0.106614
95 -0.120163 0.0259295
96 -0.110202 0.126026
97 -0.110328 0.0129688
98 -0.108279 -0.127445
99 -0.0916294 -0.0388426
