T E C M X
1.5 -1.95068 1.20093e-05 4.62646e-05 0.648611
1.6 -1.92838 1.7131e-05 -7.49512e-05 0.599851
1.7 -1.89825 2.05785e-05 -4.96826e-05 0.553593
1.8 -1.8589 2.55878e-05 -8.39844e-05 0.508476
1.9 -1.81051 3.77457e-05 -0.00375464 0.463721
2 -1.74402 4.59726e-05 0.0108398 0.414599
2.1 -1.66335 5.52005e-05 0.00864282 0.35996
2.2 -1.54784 7.87547e-05 0.0032041 0.281884
2.3 -1.36123 0.000104626 0.00557178 0.0638913
2.4 -1.21123 7.20705e-05 0.00162488 0.00419191
2.5 -1.11449 4.6033e-05 -0.00339075 0.0018567
2.6 -1.05013 1.51409e-05 0.00718811 0.000836805
2.7 -0.991091 1.30191e-05 0.00173523 0.000598724
2.8 -0.944117 2.91802e-05 0.00211658 0.00040868
2.9 -0.889464 2.258e-05 0.00629321 0.000323295
3 -0.824447 1.02309e-05 -0.00498804 0.000197503
3.1 -0.80687 5.93151e-06 0.00176685 0.000199434
3.2 -0.782904 5.53751e-06 0.00500964 0.000192348
3.3 -0.744652 1.28447e-05 -0.00588684 0.000151045
3.4 -0.725803 3.63959e-06 -0.00069519 9.63876e-05
3.5 -0.681024 2.72349e-06 -0.00214465 9.13275e-05
3.6 -0.653558 1.34753e-05 0.00511133 9.68775e-05
3.7 -0.635427 4.24366e-06 0.00422253 4.94212e-05
3.8 -0.608325 2.02411e-06 0.00143311 9.13543e-05
3.9 -0.599766 5.3346e-06 -3.02734e-05 5.84726e-05
