equi_steps: 10000 steps: 100000 steps_ps: 1000
j Ecorr Mcoor
0 1 1
1 0.983452 0.98511
2 0.967286 0.970436
3 0.951403 0.955911
4 0.935845 0.94169
5 0.920662 0.9278
6 0.90577 0.914215
7 0.891062 0.900771
8 0.87673 0.887609
9 0.862659 0.874675
10 0.848786 0.861953
11 0.835199 0.84952
12 0.821934 0.83736
13 0.808826 0.825289
14 0.795872 0.813382
15 0.783065 0.801544
16 0.770661 0.79003
17 0.758414 0.778617
18 0.746444 0.767477
19 0.734736 0.75657
20 0.723314 0.745889
21 0.712166 0.73536
22 0.701174 0.724956
23 0.690454 0.714761
24 0.679871 0.704658
25 0.669572 0.694819
26 0.659465 0.685095
27 0.64945 0.675443
28 0.639624 0.665949
29 0.629832 0.6565
30 0.620329 0.647259
31 0.611022 0.638162
32 0.601703 0.629029
33 0.592497 0.619973
34 0.58347 0.611089
35 0.574685 0.602395
36 0.56619 0.593921
37 0.557899 0.585626
38 0.549645 0.577306
39 0.541398 0.568974
40 0.53346 0.560849
41 0.525464 0.552701
42 0.517734 0.544785
43 0.510229 0.537057
44 0.502962 0.529577
45 0.495675 0.522078
46 0.488532 0.514721
47 0.48154 0.507503
48 0.474639 0.500416
49 0.467779 0.493405
50 0.461209 0.486625
51 0.454759 0.479914
52 0.44845 0.473283
53 0.4423 0.466813
54 0.436129 0.460375
55 0.430168 0.454172
56 0.424228 0.447966
57 0.418628 0.442003
58 0.413063 0.43611
59 0.407405 0.430186
60 0.40184 0.424346
61 0.396416 0.418647
62 0.391072 0.413096
63 0.385845 0.407659
64 0.380653 0.40225
65 0.375554 0.396929
66 0.370622 0.3918
67 0.365647 0.386619
68 0.360741 0.381545
69 0.356007 0.376563
70 0.351349 0.371664
71 0.34667 0.366712
72 0.342156 0.361901
73 0.337735 0.357265
74 0.333391 0.352758
75 0.329106 0.348291
76 0.324876 0.3439
77 0.320707 0.339535
78 0.316667 0.335239
79 0.312639 0.330913
80 0.308704 0.326591
81 0.304852 0.322317
82 0.300941 0.317997
83 0.297074 0.313737
84 0.293189 0.309489
85 0.289317 0.305288
86 0.285317 0.300957
87 0.281417 0.29674
88 0.277545 0.292507
89 0.273705 0.28834
90 0.269908 0.284244
91 0.266019 0.280149
92 0.262177 0.276136
93 0.258458 0.272269
94 0.254667 0.268341
95 0.251039 0.264656
96 0.247409 0.261006
97 0.243852 0.257409
98 0.240458 0.253997
99 0.23714 0.250613
100 0.233935 0.247287
101 0.230732 0.244044
102 0.227422 0.240689
103 0.224244 0.237483
104 0.22115 0.234351
105 0.218202 0.231314
106 0.215387 0.228358
107 0.212648 0.225503
108 0.209875 0.222655
109 0.207217 0.219877
110 0.204611 0.217116
111 0.202045 0.21432
112 0.199599 0.211579
113 0.197222 0.208892
114 0.194854 0.206211
115 0.192614 0.203715
116 0.190402 0.201275
117 0.188235 0.198974
118 0.185933 0.196556
119 0.183819 0.194332
120 0.181658 0.192011
121 0.179575 0.189753
122 0.17757 0.187575
123 0.175577 0.185383
124 0.173587 0.18321
125 0.171702 0.181061
126 0.169709 0.178835
127 0.167702 0.176643
128 0.165705 0.174466
129 0.163698 0.172373
130 0.161796 0.170288
131 0.159973 0.168327
132 0.158101 0.166366
133 0.156324 0.16447
134 0.154507 0.162541
135 0.152601 0.160438
136 0.150593 0.15835
137 0.148599 0.156319
138 0.146722 0.154376
139 0.144866 0.152453
140 0.143063 0.150589
141 0.141284 0.148728
142 0.139501 0.146838
143 0.137743 0.144904
144 0.135988 0.142969
145 0.134292 0.14107
146 0.132498 0.139074
147 0.130752 0.137145
148 0.129127 0.135315
149 0.127404 0.133399
150 0.125952 0.131704
151 0.12444 0.129964
152 0.122862 0.12814
153 0.121355 0.126435
154 0.119869 0.124682
155 0.118346 0.122894
156 0.116617 0.120968
157 0.115053 0.119212
158 0.113553 0.117537
159 0.111948 0.115804
160 0.110231 0.11405
161 0.108564 0.112269
162 0.106942 0.11053
163 0.10563 0.109177
164 0.104274 0.107823
165 0.102887 0.106461
166 0.101761 0.10533
167 0.1007 0.104195
168 0.099587 0.103021
169 0.0985792 0.101919
