T E C M X
0.2 -2 0 1 0
0.3 -2 0 1 0
0.4 -2 0 1 0
0.5 -2 0 1 0
0.6 -2 0 1 0
0.7 -1.99989 6.67231e-08 0.999972 3.07797e-09
0.8 -1.99973 1.55019e-07 0.999931 7.75093e-09
0.9 -1.99889 5.79434e-07 0.999719 3.41535e-08
1 -1.99714 1.68649e-06 0.999268 1.10134e-07
1.1 -1.99375 2.07052e-06 0.998391 1.52702e-07
1.2 -1.98821 4.19746e-06 0.996936 3.48246e-07
1.3 -1.98033 8.68219e-06 0.994797 8.39142e-07
1.4 -1.96891 1.12795e-05 0.991682 1.18317e-06
1.5 -1.95148 1.45058e-05 0.986651 1.92767e-06
1.6 -1.93006 2.73332e-05 0.980262 4.13282e-06
1.7 -1.89962 4.00876e-05 0.970832 6.69605e-06
1.8 -1.85731 3.78849e-05 0.956522 9.36574e-06
1.9 -1.80582 7.92158e-05 0.937621 2.40935e-05
2 -1.75332 8.19885e-05 0.915378 3.63568e-05
2.1 -1.67434 0.000129928 0.877941 7.56315e-05
2.2 -1.5711 0.000275444 0.823731 0.000301501
2.3 -1.43858 0.000372398 0.722252 0.000670834
2.4 -1.27527 0.00063191 0.542919 0.00274946
2.5 -1.1672 0.00030714 0.392695 0.00277755
2.6 -1.04867 0.000196668 0.139239 0.00607171
2.7 -0.960775 9.30359e-05 0.0327028 0.000520801
2.8 -0.910446 0.00011032 0.0243992 0.00022151
2.9 -0.861908 0.000106118 0.0148962 0.000273787
3 -0.81866 8.23398e-05 0.0251819 0.000391486
3.1 -0.782899 7.86141e-05 0.000969238 0.000395868
3.2 -0.746859 6.28387e-05 0.00342615 0.000194397
3.3 -0.716721 3.70842e-05 0.00866809 0.000257928
3.4 -0.690948 6.006e-05 -0.00578235 0.000196054
3.5 -0.655401 4.19144e-05 0.00238501 0.000434946
3.6 -0.632583 5.94801e-05 0.0138304 0.00029438
3.7 -0.608913 4.53409e-05 -0.00416907 8.76992e-05
3.8 -0.593232 4.74853e-05 0.00591003 0.000207338
3.9 -0.573946 4.29804e-05 -0.00524219 0.000355325
