equi_steps: 100 steps: 1000 steps_ps: 1
j Ecorr Mcoor
0 1 1
1 0.583196 -0.561832
2 0.350263 0.326977
3 0.178548 -0.17074
4 0.0867857 0.105487
5 0.0285471 -0.0829887
6 0.026251 0.079385
7 0.0288378 -0.101549
8 0.0265979 0.0952148
9 -0.000543173 -0.105247
10 -0.023571 0.0771251
11 -0.03385 -0.0413158
12 -0.0107179 0.0654831
13 -0.0170633 -0.0291027
14 -0.00574196 0.0461698
15 -0.00329903 -0.0338917
16 0.0345378 0.0403874
17 0.0461355 -0.0502976
18 0.0525299 0.0429009
19 0.020242 -0.0407587
20 0.0104731 0.0357257
21 0.00819423 -0.0290237
22 -0.0109168 0.000134283
23 -0.0440813 -0.00615746
24 -0.0147348 0.0248001
25 -0.0446874 -0.0218959
26 -0.0729208 0.00305857
27 -0.109703 -0.0140525
28 -0.0761752 0.00276604
29 -0.0508756 0.0018939
30 0.00011544 0.032325
31 0.00645627 -0.0123778
32 0.00296125 -0.00856939
33 -0.00918113 0.00794258
34 -0.00711077 -0.0213371
35 -0.00634769 -0.00777759
36 0.0166574 0.00298163
37 0.0138707 -0.00988776
38 0.00424435 -0.00947606
39 -0.0114498 -0.00684837
40 -0.0314245 0.039351
41 -0.0280703 -0.0680159
42 -0.056516 0.0445024
43 -0.0655182 -0.0430397
44 -0.041235 0.0130885
45 -0.0386735 0.0360605
46 -0.0617718 -0.0360265
47 -0.0386244 0.00232167
48 -0.00672498 -0.0136934
49 -0.00245559 0.0326805
50 -0.00920704 -0.0426605
51 -0.0502192 0.047289
52 -0.0614511 -0.0335344
53 -0.0564543 0.0313052
54 -0.0370981 -0.0170598
55 -0.0496955 -0.017446
56 -0.0450224 0.0194941
57 -0.0664818 0.00525381
58 -0.0582477 -0.00696507
59 -0.0568225 0.00152761
60 -0.0149532 0.0191214
61 -0.0183301 -0.0391985
62 -0.0436798 0.0441798
63 -0.0430885 -0.01083
64 -0.0644381 0.0228629
65 -0.0618731 -0.0205851
66 -0.0913592 -0.0481471
67 -0.0750088 0.0855537
68 -0.0781397 -0.103409
69 -0.0774737 0.109524
70 -0.0415279 -0.0689537
71 0.00342997 0.0512098
72 0.0170803 -0.0455884
73 0.0133914 0.0196511
74 0.0292977 -0.0145491
75 0.0268388 0.0360922
76 0.0270103 -0.00168464
77 0.0308156 -0.00488642
78 0.0390212 0.0241894
79 0.0467852 -0.0458864
80 0.0424696 0.0553021
81 0.0446986 -0.0634222
82 -0.00735126 0.0648382
83 -0.0194434 -0.0664657
84 -0.00626844 0.0591379
85 0.00323571 -0.0750336
86 0.0103093 0.0137583
87 -0.0205779 0.0186888
88 -0.0345981 0.0205984
89 -0.0307782 -0.016211
90 -0.0487138 0.0454748
91 -0.0120808 -0.0203712
92 0.0298279 0.0170868
93 0.0841931 -0.0275344
94 0.0958251 0.00918034
95 0.0898188 -0.0249538
96 0.0544781 0.0225023
97 0.0315263 0.0157362
98 0.0124436 -0.0466722
99 -0.0302193 0.0617478
