T E C M X
3 -2.70728 1.32306e-05 -0.000230103 0.298395
3.1 -2.65793 1.38018e-05 4.27246e-06 0.282791
3.2 -2.60339 1.68471e-05 0.0366907 0.26707
3.3 -2.54282 2.13033e-05 0.0546729 0.251381
3.4 -2.47737 1.85479e-05 -0.0534161 0.236485
3.5 -2.39967 2.61392e-05 -0.0173828 0.22153
3.6 -2.32002 1.88778e-05 7.01904e-05 0.20642
3.7 -2.22506 3.73546e-05 -0.0505316 0.189629
3.8 -2.13648 2.64124e-05 -0.0659009 0.174034
3.9 -2.02463 2.40284e-05 0.0151361 0.158023
4 -1.91731 3.30473e-05 -0.0149042 0.14172
4.1 -1.77739 3.32971e-05 -0.0149146 0.122427
4.2 -1.64897 2.80849e-05 0.0132764 0.104793
4.3 -1.47092 5.54324e-05 0.0370154 0.0802188
4.4 -1.29714 2.72098e-05 -0.0306226 0.0559104
4.5 -1.10506 9.21435e-05 -0.0763037 0.0262558
4.6 -0.954313 4.24446e-05 -0.0320966 0.00250492
4.7 -0.905071 9.97106e-07 0.0477191 0.000403877
4.8 -0.889972 2.57039e-06 -0.00202759 5.22327e-05
4.9 -0.856735 1.96757e-06 -0.041369 4.3486e-05
5 -0.84234 4.35476e-07 -0.0509552 1.79481e-05
5.1 -0.825022 6.96077e-07 -0.0482812 3.5437e-05
5.2 -0.803015 2.68559e-06 0.00237366 5.6885e-06
5.3 -0.786244 1.08081e-07 -0.00938477 1.68571e-05
5.4 -0.774454 1.15001e-06 -0.0495056 1.24168e-05
5.5 -0.754073 3.75151e-07 -0.0418073 1.02705e-05
5.6 -0.747076 1.36034e-07 -0.0441809 2.804e-06
5.7 -0.737032 8.7831e-07 -0.0489905 6.13839e-07
5.8 -0.725403 8.06585e-08 -0.0450665 1.6519e-06
5.9 -0.722977 1.69616e-07 -0.0329584 4.13387e-07
6 -0.712899 1.9423e-07 -0.0235156 2.7177e-06
