equi_steps:100 steps:10000
m E Ec M Mc
100 -1.28106 0.00105395 0.00437753 0.00542364
200 -1.28106 0.00111248 0.00437753 0.00535346
300 -1.28106 0.00107868 0.00437753 0.0051776
400 -1.28106 0.00105154 0.00437753 0.00523464
500 -1.28106 0.0010179 0.00437753 0.0053531
600 -1.28106 0.000984819 0.00437753 0.00512632
700 -1.28106 0.000953414 0.00437753 0.005262
800 -1.28106 0.000930471 0.00437753 0.00532597
900 -1.28106 0.000896717 0.00437753 0.00520699
1000 -1.28106 0.000876763 0.00437753 0.00516507
